Feeder_number ,Collection_Date,Absence_0_Presence_1 ,Feeder_Type ,,Absence (0)/Presence (1)
11,3/3/22 (DPI_9),0,Plastic ,,
12,3/3/22 (DPI_9),0,Plastic_coated ,,
1,3/5/22 (DPI_11),0,Wood_coated ,,
2,3/5/22 (DPI_11),0,Wood,,
3,3/5/22 (DPI_11),0,Plastic_coated ,,
4,3/5/22 (DPI_11),0,Plastic ,,
5,3/5/22 (DPI_11),0,Plastic ,,
6,3/5/22 (DPI_11),0,Plastic_coated ,,
7,3/5/22 (DPI_11),0,Wood,,
8,3/5/22 (DPI_11),0,Wood_coated ,,
9,3/5/22 (DPI_11),0,Wood,,
10,3/5/22 (DPI_11),0,Wood_coated ,,
11,3/5/22 (DPI_11),0,Plastic ,,
12,3/5/22 (DPI_11),0,Plastic_coated ,,
1,3/7/22 (DPI_13),0,Wood_coated ,,
2,3/7/22 (DPI_13),0,Wood,,
3,3/7/22 (DPI_13),0,Plastic_coated ,,
4,3/7/22 (DPI_13),0,Plastic ,,
5,3/7/22 (DPI_13),0,Plastic ,,
6,3/7/22 (DPI_13),0,Plastic_coated ,,
7,3/7/22 (DPI_13),0,Wood,,
8,3/7/22 (DPI_13),0,Wood_coated ,,
9,3/7/22 (DPI_13),0,Wood,,
10,3/7/22 (DPI_13),0,Wood_coated ,,
11,3/7/22 (DPI_13),0,Plastic ,,
12,3/7/22 (DPI_13),0,Plastic_coated ,,
1,3/14/22 (DPI_20),0,Wood_coated ,,
2,3/14/22 (DPI_20),0,Wood,,
3,3/14/22 (DPI_20),0,Plastic_coated ,,
4,3/14/22 (DPI_20),0,Plastic ,,
5,3/14/22 (DPI_20),0,Plastic ,,
6,3/14/22 (DPI_20),0,Plastic_coated ,,
7,3/14/22 (DPI_20),0,Wood,,
8,3/14/22 (DPI_20),0,Wood_coated ,,
9,3/14/22 (DPI_20),0,Wood,,
10,3/14/22 (DPI_20),0,Wood_coated ,,
11,3/14/22 (DPI_20),0,Plastic ,,
12,3/14/22 (DPI_20),0,Plastic_coated ,,
